location,target,unit,value,type,bin_start_incl,bin_end_notincl
US National,Season peak percentage,percent,0.0208164802203348,Bin,4.2,4.3
US National,Season peak percentage,percent,0.020052642534446,Bin,4.3,4.4
US National,Season peak percentage,percent,0.0253024058797449,Bin,4.4,4.5
US National,Season peak percentage,percent,0.0237856176538134,Bin,4.5,4.6
US National,Season peak percentage,percent,0.0181967815940131,Bin,4.6,4.7
US National,Season peak percentage,percent,0.0233408747959721,Bin,4.7,4.8
US National,Season peak percentage,percent,0.0176932603542688,Bin,4.8,4.9
US National,Season peak percentage,percent,0.0214416665827354,Bin,4.9,5.0
US National,Season peak percentage,percent,0.0170984672301272,Bin,5.0,5.1
US National,Season peak percentage,percent,0.0208150238510849,Bin,5.1,5.2
US National,Season peak percentage,percent,0.0204857659632836,Bin,5.2,5.3
US National,Season peak percentage,percent,0.0214972808794578,Bin,5.3,5.4
US National,Season peak percentage,percent,0.0204897161220725,Bin,5.4,5.5
US National,Season peak percentage,percent,0.0188123083748922,Bin,5.5,5.6
US National,Season peak percentage,percent,0.0191594491661203,Bin,5.6,5.7
US National,Season peak percentage,percent,0.0174972922939271,Bin,5.7,5.8
US National,Season peak percentage,percent,0.0131553480660247,Bin,5.8,5.9
US National,Season peak percentage,percent,0.0202639047479556,Bin,5.9,6.0
US National,Season peak percentage,percent,0.0166225851049938,Bin,6.0,6.1
US National,Season peak percentage,percent,0.0123240294475289,Bin,6.1,6.2
US National,Season peak percentage,percent,0.0120782208205345,Bin,6.2,6.3
US National,Season peak percentage,percent,0.0111758801928297,Bin,6.3,6.4
US National,Season peak percentage,percent,0.0143262267448616,Bin,6.4,6.5
US National,Season peak percentage,percent,0.0100915745657296,Bin,6.5,6.6
US National,Season peak percentage,percent,0.00990849438214634,Bin,6.6,6.7
US National,Season peak percentage,percent,0.0117577190607873,Bin,6.7,6.8
US National,Season peak percentage,percent,0.00891047186984101,Bin,6.8,6.9
US National,Season peak percentage,percent,0.00876620927034505,Bin,6.9,7.0
US National,Season peak percentage,percent,0.0119965353879451,Bin,7.0,7.1
US National,Season peak percentage,percent,0.0105269206213824,Bin,7.1,7.2
US National,Season peak percentage,percent,0.0124295809861037,Bin,7.2,7.3
US National,Season peak percentage,percent,0.00963007008463529,Bin,7.3,7.4
US National,Season peak percentage,percent,0.00683680090288467,Bin,7.4,7.5
US National,Season peak percentage,percent,0.0101038933502446,Bin,7.5,7.6
US National,Season peak percentage,percent,0.00664776707346148,Bin,7.6,7.7
US National,Season peak percentage,percent,0.00790499250224203,Bin,7.7,7.8
US National,Season peak percentage,percent,0.00580173223488775,Bin,7.8,7.9
US National,Season peak percentage,percent,0.00975651440720933,Bin,7.9,8.0
US National,Season peak percentage,percent,0.00631352933320601,Bin,8.0,8.1
US National,Season peak percentage,percent,0.00287323120521119,Bin,8.1,8.2
US National,Season peak percentage,percent,0.00481785658949965,Bin,8.2,8.3
US National,Season peak percentage,percent,0.00676525882487494,Bin,8.3,8.4
US National,Season peak percentage,percent,0.004678914569034,Bin,8.4,8.5
US National,Season peak percentage,percent,0.00394125998722454,Bin,8.5,8.6
US National,Season peak percentage,percent,0.00589806672330465,Bin,8.6,8.7
US National,Season peak percentage,percent,0.00449453294870074,Bin,8.7,8.8
US National,Season peak percentage,percent,0.00242197801076702,Bin,8.8,8.9
US National,Season peak percentage,percent,0.00439000338527403,Bin,8.9,9.0
US National,Season peak percentage,percent,0.00367093076699633,Bin,9.0,9.1
US National,Season peak percentage,percent,0.00295591125614494,Bin,9.1,9.2
US National,Season peak percentage,percent,0.00224495935787704,Bin,9.2,9.3
US National,Season peak percentage,percent,0.00557465154217197,Bin,9.3,9.4
US National,Season peak percentage,percent,0.0021804117974839,Bin,9.4,9.5
US National,Season peak percentage,percent,0.00215374254458391,Bin,9.5,9.6
US National,Season peak percentage,percent,0.00347609213204152,Bin,9.6,9.7
US National,Season peak percentage,percent,0.00211052487292874,Bin,9.7,9.8
US National,Season peak percentage,percent,0.00209344538014624,Bin,9.8,9.9
US National,Season peak percentage,percent,0.00207901532401944,Bin,9.9,10.0
US National,Season peak percentage,percent,0.00139415238636832,Bin,10.0,10.1
US National,Season peak percentage,percent,0.00340247754359039,Bin,10.1,10.2
US National,Season peak percentage,percent,0.000703150556182562,Bin,10.2,10.3
US National,Season peak percentage,percent,0.00136925463658101,Bin,10.3,10.4
US National,Season peak percentage,percent,0.00405499952904487,Bin,10.4,10.5
US National,Season peak percentage,percent,0.00135960801128248,Bin,10.5,10.6
US National,Season peak percentage,percent,0.00135623505273601,Bin,10.6,10.7
US National,Season peak percentage,percent,0.000680823370890851,Bin,10.7,10.8
US National,Season peak percentage,percent,0.000679835349944975,Bin,10.8,10.9
US National,Season peak percentage,percent,0.00202539263276158,Bin,10.9,11.0
US National,Season peak percentage,percent,0.000679835349944975,Bin,11.0,11.1
US National,Season peak percentage,percent,0.00135261399135328,Bin,11.1,11.2
US National,Season peak percentage,percent,7.05670853667308e-06,Bin,11.2,11.3
US National,Season peak percentage,percent,7.05670853667308e-06,Bin,11.3,11.4
US National,Season peak percentage,percent,0.000679835349944975,Bin,11.4,11.5
US National,Season peak percentage,percent,0.00135261399135328,Bin,11.5,11.6
US National,Season peak percentage,percent,0.00135261399135328,Bin,11.6,11.7
US National,Season peak percentage,percent,0.000679835349944975,Bin,11.7,11.8
US National,Season peak percentage,percent,0.000679835349944975,Bin,11.8,11.9
US National,Season peak percentage,percent,0.00135261399135328,Bin,11.9,12.0
US National,Season peak percentage,percent,7.05670853667308e-06,Bin,12.0,12.1
US National,Season peak percentage,percent,0.00135261399135328,Bin,12.1,12.2
US National,Season peak percentage,percent,7.05670853667308e-06,Bin,12.2,12.3
US National,Season peak percentage,percent,0.00135261399135328,Bin,12.3,12.4
US National,Season peak percentage,percent,0.00135261399135328,Bin,12.4,12.5
US National,Season peak percentage,percent,0.00135261399135328,Bin,12.5,12.6
US National,Season peak percentage,percent,0.00135261399135328,Bin,12.6,12.7
US National,Season peak percentage,percent,7.05670853667308e-06,Bin,12.7,12.8
US National,Season peak percentage,percent,0.000679835349944975,Bin,12.8,12.9
US National,Season peak percentage,percent,7.05670853667308e-06,Bin,12.9,13.0
US National,Season peak percentage,percent,0.00538928583980309,Bin,13.0,100.0
US National,1 wk ahead,percent,4.17959252971643e-10,Bin,0.0,0.1
US National,1 wk ahead,percent,8.35918505943286e-10,Bin,0.1,0.2
US National,1 wk ahead,percent,8.35918505943285e-10,Bin,0.2,0.3
US National,1 wk ahead,percent,8.35918505943285e-10,Bin,0.3,0.4
US National,1 wk ahead,percent,8.35918505943285e-10,Bin,0.4,0.5
US National,1 wk ahead,percent,8.35918505943286e-10,Bin,0.5,0.6
US National,1 wk ahead,percent,8.35918505943286e-10,Bin,0.6,0.7
US National,1 wk ahead,percent,8.35918505943286e-10,Bin,0.7,0.8
US National,1 wk ahead,percent,8.35918505943286e-10,Bin,0.8,0.9
US National,1 wk ahead,percent,8.76456495173232e-10,Bin,0.9,1.0
US National,1 wk ahead,percent,3.39455541418872e-08,Bin,1.0,1.1
US National,1 wk ahead,percent,0.00200003349553663,Bin,1.1,1.2
US National,1 wk ahead,percent,0.00600005755622946,Bin,1.2,1.3
US National,1 wk ahead,percent,0.0380001535049819,Bin,1.3,1.4
US National,1 wk ahead,percent,0.078000155846082,Bin,1.4,1.5
US National,1 wk ahead,percent,0.211999938952988,Bin,1.5,1.6
US National,1 wk ahead,percent,0.305999809386374,Bin,1.6,1.7
US National,1 wk ahead,percent,0.187999882908627,Bin,1.7,1.8
US National,1 wk ahead,percent,0.089999953840822,Bin,1.8,1.9
US National,1 wk ahead,percent,0.0669999568725672,Bin,1.9,2.0
US National,1 wk ahead,percent,0.00799999502189737,Bin,2.0,2.1
US National,1 wk ahead,percent,0.00299999826919946,Bin,2.1,2.2
US National,1 wk ahead,percent,0.000999999568120293,Bin,2.2,2.3
US National,1 wk ahead,percent,0.000999999568120293,Bin,2.3,2.4
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,2.4,2.5
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,2.5,2.6
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,2.6,2.7
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,2.7,2.8
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,2.8,2.9
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,2.9,3.0
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.0,3.1
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.1,3.2
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.2,3.3
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.3,3.4
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.4,3.5
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.5,3.6
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.6,3.7
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.7,3.8
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.8,3.9
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,3.9,4.0
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.0,4.1
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.1,4.2
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.2,4.3
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.3,4.4
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.4,4.5
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.5,4.6
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.6,4.7
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.7,4.8
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.8,4.9
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,4.9,5.0
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.0,5.1
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.1,5.2
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.2,5.3
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.3,5.4
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.4,5.5
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.5,5.6
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.6,5.7
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.7,5.8
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.8,5.9
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,5.9,6.0
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.0,6.1
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.1,6.2
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.2,6.3
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.3,6.4
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.4,6.5
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.5,6.6
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.6,6.7
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.7,6.8
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.8,6.9
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,6.9,7.0
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.0,7.1
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.1,7.2
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.2,7.3
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.3,7.4
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.4,7.5
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.5,7.6
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.6,7.7
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.7,7.8
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.8,7.9
US National,1 wk ahead,percent,2.17580711301328e-10,Bin,7.9,8.0
US National,1 wk ahead,percent,2.1758071130133e-10,Bin,8.0,8.1
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.1,8.2
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.2,8.3
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.3,8.4
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.4,8.5
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.5,8.6
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.6,8.7
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.7,8.8
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.8,8.9
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,8.9,9.0
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.0,9.1
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.1,9.2
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.2,9.3
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.3,9.4
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.4,9.5
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.5,9.6
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.6,9.7
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.7,9.8
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.8,9.9
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,9.9,10.0
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.0,10.1
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.1,10.2
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.2,10.3
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.3,10.4
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.4,10.5
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.5,10.6
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.6,10.7
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.7,10.8
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.8,10.9
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,10.9,11.0
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.0,11.1
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.1,11.2
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.2,11.3
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.3,11.4
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.4,11.5
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.5,11.6
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.6,11.7
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.7,11.8
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.8,11.9
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,11.9,12.0
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.0,12.1
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.1,12.2
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.2,12.3
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.3,12.4
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.4,12.5
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.5,12.6
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.6,12.7
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.7,12.8
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.8,12.9
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,12.9,13.0
US National,1 wk ahead,percent,2.17580711301332e-10,Bin,13.0,100.0
US National,2 wk ahead,percent,5.98912578506797e-10,Bin,0.0,0.1
US National,2 wk ahead,percent,1.19782515701359e-09,Bin,0.1,0.2
US National,2 wk ahead,percent,1.19782515701359e-09,Bin,0.2,0.3
