location,target,unit,type,bin_start_incl,bin_end_notincl,value
US National,Season peak week,week,Bin,52,53,0.09787960340132526
US National,Season peak week,week,Bin,1,2,0.05896322777873069
US National,Season peak week,week,Bin,2,3,0.0293823796055059
US National,Season peak week,week,Bin,3,4,0.037893280661404016
US National,Season peak week,week,Bin,4,5,0.04308768099991977
US National,Season peak week,week,Bin,5,6,0.07687144311649458
US National,Season peak week,week,Bin,6,7,0.16187884166195446
US National,Season peak week,week,Bin,7,8,0.2245529727367577
US National,Season peak week,week,Bin,8,9,0.1427866757948075
US National,Season peak week,week,Bin,9,10,0.039793936039588404
US National,Season peak week,week,Bin,10,11,0.004892409237078976
US National,Season peak week,week,Bin,11,12,5.086962381727284e-4
US National,Season peak week,week,Bin,12,13,4.785755898744964e-4
US National,Season peak week,week,Bin,13,14,4.785755898744964e-4
US National,Season peak week,week,Bin,14,15,4.785755898744964e-4
US National,Season peak week,week,Bin,15,16,4.785755898744964e-4
US National,Season peak week,week,Bin,16,17,4.785755898744964e-4
US National,Season peak week,week,Bin,17,18,4.785755898744964e-4
US National,Season peak week,week,Bin,18,19,4.785755898744964e-4
US National,Season peak week,week,Bin,19,20,4.785755898744964e-4
US National,Season peak week,week,Bin,20,21,4.785755898744964e-4
US National,Season peak percentage,percent,Bin,0,0.1,7.55977624488184e-5
US National,Season peak percentage,percent,Bin,0.1,0.2,1.511955248976368e-4
US National,Season peak percentage,percent,Bin,0.2,0.3,1.5119552489763674e-4
US National,Season peak percentage,percent,Bin,0.3,0.4,1.5119552489763674e-4
US National,Season peak percentage,percent,Bin,0.4,0.5,1.5119552489763674e-4
US National,Season peak percentage,percent,Bin,0.5,0.6,1.511955248976368e-4
US National,Season peak percentage,percent,Bin,0.6,0.7,1.511955248976369e-4
US National,Season peak percentage,percent,Bin,0.7,0.8,1.511955248976369e-4
US National,Season peak percentage,percent,Bin,0.8,0.9,1.511955248976369e-4
US National,Season peak percentage,percent,Bin,0.9,1,1.511955248976369e-4
US National,Season peak percentage,percent,Bin,1,1.1,1.511955248976369e-4
US National,Season peak percentage,percent,Bin,1.1,1.2,1.511955248976369e-4
US National,Season peak percentage,percent,Bin,1.2,1.3,1.541451875733389e-4
US National,Season peak percentage,percent,Bin,1.3,1.4,2.1881410014273125e-4
US National,Season peak percentage,percent,Bin,1.4,1.5,3.406916871646481e-4
US National,Season peak percentage,percent,Bin,1.5,1.6,5.190056887232891e-4
US National,Season peak percentage,percent,Bin,1.6,1.7,7.736206476308646e-4
US National,Season peak percentage,percent,Bin,1.7,1.8,0.0011284889775094174
US National,Season peak percentage,percent,Bin,1.8,1.9,0.001610935498291738
US National,Season peak percentage,percent,Bin,1.9,2,0.0022509216204769445
US National,Season peak percentage,percent,Bin,2,2.1,0.0030790203805853983
US National,Season peak percentage,percent,Bin,2.1,2.2,0.004123336215373254
US National,Season peak percentage,percent,Bin,2.2,2.3,0.00540727426213834
US National,Season peak percentage,percent,Bin,2.3,2.4,0.006944770402123961
US National,Season peak percentage,percent,Bin,2.4,2.5,0.008737083011968813
US National,Season peak percentage,percent,Bin,2.5,2.6,0.010769906195208375
US National,Season peak percentage,percent,Bin,2.6,2.7,0.013009971645082356
US National,Season peak percentage,percent,Bin,2.7,2.8,0.015405649298932475
US National,Season peak percentage,percent,Bin,2.8,2.9,0.017887348020115545
US National,Season peak percentage,percent,Bin,2.9,3,0.020370975710771885
US National,Season peak percentage,percent,Bin,3,3.1,0.022763183520457655
US National,Season peak percentage,percent,Bin,3.1,3.2,0.024967990196249675
US National,Season peak percentage,percent,Bin,3.2,3.3,0.026894535309631547
US National,Season peak percentage,percent,Bin,3.3,3.4,0.02846390822967971
US National,Season peak percentage,percent,Bin,3.4,3.5,0.029616506256020334
US National,Season peak percentage,percent,Bin,3.5,3.6,0.030316557349094764
US National,Season peak percentage,percent,Bin,3.6,3.7,0.03055420567912647
US National,Season peak percentage,percent,Bin,3.7,3.8,0.030346799068394156
US National,Season peak percentage,percent,Bin,3.8,3.9,0.029735893714032697
US National,Season peak percentage,percent,Bin,3.9,4,0.02878286344210266
US National,Season peak percentage,percent,Bin,4,4.1,0.027564752001282174
US National,Season peak percentage,percent,Bin,4.1,4.2,0.02616644469503941
US National,Season peak percentage,percent,Bin,4.2,4.3,0.02467524576828899
US National,Season peak percentage,percent,Bin,4.3,4.4,0.023174947823569145
US National,Season peak percentage,percent,Bin,4.4,4.5,0.02174057925876956
US National,Season peak percentage,percent,Bin,4.5,4.6,0.02043442928805808
US National,Season peak percentage,percent,Bin,4.6,4.7,0.019302807794239492
US National,Season peak percentage,percent,Bin,4.7,4.8,0.01837541285966343
US National,Season peak percentage,percent,Bin,4.8,4.9,0.017662676398831022
US National,Season peak percentage,percent,Bin,4.9,5,0.017157997779996763
US National,Season peak percentage,percent,Bin,5,5.1,0.01683885577395969
US National,Season peak percentage,percent,Bin,5.1,5.2,0.016668291234818545
US National,Season peak percentage,percent,Bin,5.2,5.3,0.0166000669827317
US National,Season peak percentage,percent,Bin,5.3,5.4,0.016581494807912288
US National,Season peak percentage,percent,Bin,5.4,5.5,0.01655886358478116
US National,Season peak percentage,percent,Bin,5.5,5.6,0.016481657320960894
US National,Season peak percentage,percent,Bin,5.6,5.7,0.01630751726714688
US National,Season peak percentage,percent,Bin,5.7,5.8,0.016005389091427798
US National,Season peak percentage,percent,Bin,5.8,5.9,0.015558242196669498
US National,Season peak percentage,percent,Bin,5.9,6,0.014965185888898032
US National,Season peak percentage,percent,Bin,6,6.1,0.014239942835671312
US National,Season peak percentage,percent,Bin,6.1,6.2,0.013410809485476155
US National,Season peak percentage,percent,Bin,6.2,6.3,0.012516739533346406
US National,Season peak percentage,percent,Bin,6.3,6.4,0.011603685045808847
US National,Season peak percentage,percent,Bin,6.4,6.5,0.010720069707307517
US National,Season peak percentage,percent,Bin,6.5,6.6,0.009911649335589134
US National,Season peak percentage,percent,Bin,6.6,6.7,0.009216985775822525
US National,Season peak percentage,percent,Bin,6.7,6.8,0.008663086142045478
US National,Season peak percentage,percent,Bin,6.8,6.9,0.008263340263904807
US National,Season peak percentage,percent,Bin,6.9,7,0.008015283890662623
US National,Season peak percentage,percent,Bin,7,7.1,0.007901574661315787
US National,Season peak percentage,percent,Bin,7.1,7.2,0.007892091032263574
US National,Season peak percentage,percent,Bin,7.2,7.3,0.007946863429615682
US National,Season peak percentage,percent,Bin,7.3,7.4,0.008021113387262722
US National,Season peak percentage,percent,Bin,7.4,7.5,0.008069923177380636
US National,Season peak percentage,percent,Bin,7.5,7.6,0.008053199980291192
US National,Season peak percentage,percent,Bin,7.6,7.7,0.007939689882685187
US National,Season peak percentage,percent,Bin,7.7,7.8,0.007709804308776357
US National,Season peak percentage,percent,Bin,7.8,7.9,0.007357160075750482
US National,Season peak percentage,percent,Bin,7.9,8,0.0068879486416118345
US National,Season peak percentage,percent,Bin,8,8.1,0.006319395923893011
US National,Season peak percentage,percent,Bin,8.1,8.2,0.005677006091579783
US National,Season peak percentage,percent,Bin,8.2,8.3,0.004990771892003724
US National,Season peak percentage,percent,Bin,8.3,8.4,0.004291929402877072
US National,Season peak percentage,percent,Bin,8.4,8.5,0.0036095401726383685
US National,Season peak percentage,percent,Bin,8.5,8.6,0.002968181319292214
US National,Season peak percentage,percent,Bin,8.6,8.7,0.002386186482740084
US National,Season peak percentage,percent,Bin,8.7,8.8,0.0018752321830418789
US National,Season peak percentage,percent,Bin,8.8,8.9,0.001440551932902668
US National,Season peak percentage,percent,Bin,8.9,9,0.001081623538576957
US National,Season peak percentage,percent,Bin,9,9.1,7.938163066304321e-4
US National,Season peak percentage,percent,Bin,9.1,9.2,5.694341286060531e-4
US National,Season peak percentage,percent,Bin,9.2,9.3,3.99215726819836e-4
US National,Season peak percentage,percent,Bin,9.3,9.4,2.735577136436652e-4
US National,Season peak percentage,percent,Bin,9.4,9.5,1.8320757719652786e-4
US National,Season peak percentage,percent,Bin,9.5,9.6,1.1992375108783712e-4
US National,Season peak percentage,percent,Bin,9.6,9.7,8.568553760856841e-5
US National,Season peak percentage,percent,Bin,9.7,9.8,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,9.8,9.9,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,9.9,10,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10,10.1,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.1,10.2,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.2,10.3,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.3,10.4,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.4,10.5,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.5,10.6,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.6,10.7,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.7,10.8,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.8,10.9,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,10.9,11,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11,11.1,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.1,11.2,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.2,11.3,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.3,11.4,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.4,11.5,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.5,11.6,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.6,11.7,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.7,11.8,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.8,11.9,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,11.9,12,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12,12.1,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.1,12.2,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.2,12.3,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.3,12.4,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.4,12.5,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.5,12.6,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.6,12.7,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.7,12.8,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.8,12.9,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,12.9,13,8.411094289125682e-5
US National,Season peak percentage,percent,Bin,13,100,8.411094289125682e-5
US National,1 wk ahead,percent,Bin,0,0.1,3.787249120565889e-5
US National,1 wk ahead,percent,Bin,0.1,0.2,7.57449824113178e-5
US National,1 wk ahead,percent,Bin,0.2,0.3,7.574498241131777e-5
US National,1 wk ahead,percent,Bin,0.3,0.4,7.728493403732496e-5
US National,1 wk ahead,percent,Bin,0.4,0.5,1.2148913712922161e-4
US National,1 wk ahead,percent,Bin,0.5,0.6,2.1674359975547343e-4
US National,1 wk ahead,percent,Bin,0.6,0.7,3.7276659366577763e-4
US National,1 wk ahead,percent,Bin,0.7,0.8,6.184641418465601e-4
US National,1 wk ahead,percent,Bin,0.8,0.9,9.907421954254143e-4
US National,1 wk ahead,percent,Bin,0.9,1,0.001534614032175266
US National,1 wk ahead,percent,Bin,1,1.1,0.002300568159913903
US National,1 wk ahead,percent,Bin,1.1,1.2,0.003343040142739612
US National,1 wk ahead,percent,Bin,1.2,1.3,0.004715171246955843
US National,1 wk ahead,percent,Bin,1.3,1.4,0.0064655796180992245
US National,1 wk ahead,percent,Bin,1.4,1.5,0.00863344392334658
US National,1 wk ahead,percent,Bin,1.5,1.6,0.011241712160646997
US National,1 wk ahead,percent,Bin,1.6,1.7,0.014294440232694307
US National,1 wk ahead,percent,Bin,1.7,1.8,0.01776821823636022
US National,1 wk ahead,percent,Bin,1.8,1.9,0.02160946693133701
US National,1 wk ahead,percent,Bin,1.9,2,0.025726468085883525
US National,1 wk ahead,percent,Bin,2,2.1,0.02998699382235355
US National,1 wk ahead,percent,Bin,2.1,2.2,0.03421948052889635
US National,1 wk ahead,percent,Bin,2.2,2.3,0.038221211413882086
US National,1 wk ahead,percent,Bin,2.3,2.4,0.04177189778302983
US National,1 wk ahead,percent,Bin,2.4,2.5,0.04465851238499634
US National,1 wk ahead,percent,Bin,2.5,2.6,0.04669815567240416
US National,1 wk ahead,percent,Bin,2.6,2.7,0.047765720642335904
US National,1 wk ahead,percent,Bin,2.7,2.8,0.047810048703495873
US National,1 wk ahead,percent,Bin,2.8,2.9,0.0468578518610458
US National,1 wk ahead,percent,Bin,2.9,3,0.04501428475221054
US National,1 wk ahead,percent,Bin,3,3.1,0.04243959959278801
US National,1 wk ahead,percent,Bin,3.1,3.2,0.03933025736282681
US National,1 wk ahead,percent,Bin,3.2,3.3,0.035889168386895674
US National,1 wk ahead,percent,Bin,3.3,3.4,0.03230407799497447
US National,1 wk ahead,percent,Bin,3.4,3.5,0.028731233884350234
US National,1 wk ahead,percent,Bin,3.5,3.6,0.02528595252043422
US National,1 wk ahead,percent,Bin,3.6,3.7,0.022041170955961215
US National,1 wk ahead,percent,Bin,3.7,3.8,0.019034072053853445
US National,1 wk ahead,percent,Bin,3.8,3.9,0.016275167879411554
US National,1 wk ahead,percent,Bin,3.9,4,0.013759267801285403
US National,1 wk ahead,percent,Bin,4,4.1,0.011476373227718589
US National,1 wk ahead,percent,Bin,4.1,4.2,0.00941772183526245
US National,1 wk ahead,percent,Bin,4.2,4.3,0.007580559401921153
US National,1 wk ahead,percent,Bin,4.3,4.4,0.005966257172887916
US National,1 wk ahead,percent,Bin,4.4,4.5,0.004577708550304057
US National,1 wk ahead,percent,Bin,4.5,4.6,0.003414740827344386
US National,1 wk ahead,percent,Bin,4.6,4.7,0.002470267873829616
US National,1 wk ahead,percent,Bin,4.7,4.8,0.001729639022828885
US National,1 wk ahead,percent,Bin,4.8,4.9,0.0011700341685687116
US National,1 wk ahead,percent,Bin,4.9,5,7.63742326675976e-4
US National,1 wk ahead,percent,Bin,5,5.1,4.804766179969664e-4
US National,1 wk ahead,percent,Bin,5.1,5.2,2.910309690916288e-4
US National,1 wk ahead,percent,Bin,5.2,5.3,1.6967115697214813e-4
US National,1 wk ahead,percent,Bin,5.3,5.4,9.518950663410014e-5
US National,1 wk ahead,percent,Bin,5.4,5.5,5.158808197956341e-5
US National,1 wk ahead,percent,Bin,5.5,5.6,2.7433300479875068e-5
US National,1 wk ahead,percent,Bin,5.6,5.7,1.5357896877803774e-5
US National,1 wk ahead,percent,Bin,5.7,5.8,1.120618708904066e-5
US National,1 wk ahead,percent,Bin,5.8,5.9,1.3520073059386096e-5
US National,1 wk ahead,percent,Bin,5.9,6,2.3385405575028237e-5
US National,1 wk ahead,percent,Bin,6,6.1,4.465662517152586e-5
US National,1 wk ahead,percent,Bin,6.1,6.2,8.472125737278754e-5
US National,1 wk ahead,percent,Bin,6.2,6.3,1.5535441468995936e-4
US National,1 wk ahead,percent,Bin,6.3,6.4,2.7381178134809777e-4
US National,1 wk ahead,percent,Bin,6.4,6.5,4.633703442710175e-4
US National,1 wk ahead,percent,Bin,6.5,6.6,7.525124705820429e-4
US National,1 wk ahead,percent,Bin,6.6,6.7,0.0011729795553888955
US National,1 wk ahead,percent,Bin,6.7,6.8,0.0017543453658848396
US National,1 wk ahead,percent,Bin,6.8,6.9,0.0025181498990501003
US National,1 wk ahead,percent,Bin,6.9,7,0.0034688238179403637
US National,1 wk ahead,percent,Bin,7,7.1,0.004585608653857512
US National,1 wk ahead,percent,Bin,7.1,7.2,0.005817467642461191
US National,1 wk ahead,percent,Bin,7.2,7.3,0.0070825535640391445
US National,1 wk ahead,percent,Bin,7.3,7.4,0.008274972241300473
US National,1 wk ahead,percent,Bin,7.4,7.5,0.009278318969018115
US National,1 wk ahead,percent,Bin,7.5,7.6,0.009983522808788602
US National,1 wk ahead,percent,Bin,7.6,7.7,0.010309056244446965
US National,1 wk ahead,percent,Bin,7.7,7.8,0.010216225865245631
US National,1 wk ahead,percent,Bin,7.8,7.9,0.009715564200843848
US National,1 wk ahead,percent,Bin,7.9,8,0.008866973206820174
US National,1 wk ahead,percent,Bin,8,8.1,0.0077659174477307386
US National,1 wk ahead,percent,Bin,8.1,8.2,0.006527379753211433
US National,1 wk ahead,percent,Bin,8.2,8.3,0.00526507482304189
US National,1 wk ahead,percent,Bin,8.3,8.4,0.004075582293357973
US National,1 wk ahead,percent,Bin,8.4,8.5,0.0030275098502562606
US National,1 wk ahead,percent,Bin,8.5,8.6,0.0021584056958336207
US National,1 wk ahead,percent,Bin,8.6,8.7,0.0014766516113174765
US National,1 wk ahead,percent,Bin,8.7,8.8,9.69444066227023e-4
US National,1 wk ahead,percent,Bin,8.8,8.9,6.108205263920165e-4
US National,1 wk ahead,percent,Bin,8.9,9,3.6929759914002436e-4
US National,1 wk ahead,percent,Bin,9,9.1,2.1433910702639826e-4
US National,1 wk ahead,percent,Bin,9.1,9.2,1.2681058592905862e-4
US National,1 wk ahead,percent,Bin,9.2,9.3,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,9.3,9.4,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,9.4,9.5,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,9.5,9.6,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,9.6,9.7,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,9.7,9.8,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,9.8,9.9,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,9.9,10,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10,10.1,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.1,10.2,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.2,10.3,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.3,10.4,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.4,10.5,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.5,10.6,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.6,10.7,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.7,10.8,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.8,10.9,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,10.9,11,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11,11.1,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.1,11.2,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.2,11.3,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.3,11.4,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.4,11.5,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.5,11.6,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.6,11.7,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.7,11.8,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.8,11.9,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,11.9,12,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12,12.1,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.1,12.2,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.2,12.3,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.3,12.4,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.4,12.5,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.5,12.6,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.6,12.7,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.7,12.8,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.8,12.9,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,12.9,13,1.1626082778065648e-4
US National,1 wk ahead,percent,Bin,13,100,1.1626082778065648e-4
US National,2 wk ahead,percent,Bin,0,0.1,5.061584450217478e-4
US National,2 wk ahead,percent,Bin,0.1,0.2,0.0010123168900434956
US National,2 wk ahead,percent,Bin,0.2,0.3,0.0010123168900434952
US National,2 wk ahead,percent,Bin,0.3,0.4,0.0010123168900434952
US National,2 wk ahead,percent,Bin,0.4,0.5,0.0010123168900434952
US National,2 wk ahead,percent,Bin,0.5,0.6,0.0010123168900434956
US National,2 wk ahead,percent,Bin,0.6,0.7,0.0010123168900434965
US National,2 wk ahead,percent,Bin,0.7,0.8,0.0010123168900434965
US National,2 wk ahead,percent,Bin,0.8,0.9,0.0010123168900434965
US National,2 wk ahead,percent,Bin,0.9,1,0.0010123168900434965
