timezero,location,target,value
20171009,HHS Region 5,2 wk ahead,1.2
20171009,HHS Region 5,3 wk ahead,1.2
20171009,HHS Region 5,4 wk ahead,1.3
20171009,HHS Region 6,Season onset,20171127
20171009,HHS Region 6,Season peak week,20180122
20171009,HHS Region 6,Season peak percentage,12.7
20171009,HHS Region 6,1 wk ahead,2
20171009,HHS Region 6,2 wk ahead,2.2
20171009,HHS Region 6,3 wk ahead,2.9
20171009,HHS Region 6,4 wk ahead,3.3
20171009,HHS Region 7,Season onset,20171204
20171009,HHS Region 7,Season peak week,20180122
20171009,HHS Region 7,Season peak percentage,8.9
20171009,HHS Region 7,1 wk ahead,0.8
20171009,HHS Region 7,2 wk ahead,0.9
20171009,HHS Region 7,3 wk ahead,1.2
20171009,HHS Region 7,4 wk ahead,1.3
20171009,HHS Region 8,Season onset,20171211
20171009,HHS Region 8,Season peak week,20180129
20171009,HHS Region 8,Season peak percentage,3.3
20171009,HHS Region 8,1 wk ahead,0.6
20171009,HHS Region 8,2 wk ahead,0.7
20171009,HHS Region 8,3 wk ahead,0.7
20171009,HHS Region 8,4 wk ahead,0.8
20171009,HHS Region 9,Season onset,20171204
20171009,HHS Region 9,Season peak week,20171225
20171009,HHS Region 9,Season peak percentage,7
20171009,HHS Region 9,1 wk ahead,1.6
20171009,HHS Region 9,2 wk ahead,1.7
20171009,HHS Region 9,3 wk ahead,2
20171009,HHS Region 9,4 wk ahead,1.9
20171009,HHS Region 10,Season onset,20171218
20171009,HHS Region 10,Season peak week,20180101
20171009,HHS Region 10,Season peak percentage,4.8
20171009,HHS Region 10,1 wk ahead,0.8
20171009,HHS Region 10,2 wk ahead,0.7
20171009,HHS Region 10,3 wk ahead,1
20171009,HHS Region 10,4 wk ahead,1
20171016,US National,Season onset,20171120
20171016,US National,Season peak week,20180129
20171016,US National,Season peak percentage,7.5
20171016,US National,1 wk ahead,1.5
20171016,US National,2 wk ahead,1.7
20171016,US National,3 wk ahead,1.9
20171016,US National,4 wk ahead,2.1
20171016,HHS Region 1,Season onset,20171120
20171016,HHS Region 1,Season peak week,20180205
20171016,HHS Region 1,Season peak percentage,5.8
20171016,HHS Region 1,1 wk ahead,1
20171016,HHS Region 1,2 wk ahead,1
20171016,HHS Region 1,3 wk ahead,1.1
20171016,HHS Region 1,4 wk ahead,1.2
20171016,HHS Region 2,Season onset,20171204
20171016,HHS Region 2,Season peak week,20180205
20171016,HHS Region 2,Season peak percentage,10.4
20171016,HHS Region 2,1 wk ahead,2.1
20171016,HHS Region 2,2 wk ahead,2.4
20171016,HHS Region 2,3 wk ahead,2.4
20171016,HHS Region 2,4 wk ahead,2.8
20171016,HHS Region 3,Season onset,20171218
20171016,HHS Region 3,Season peak week,20180205
20171016,HHS Region 3,Season peak percentage,7.5
20171016,HHS Region 3,1 wk ahead,1.1
20171016,HHS Region 3,2 wk ahead,1.2
20171016,HHS Region 3,3 wk ahead,1.3
20171016,HHS Region 3,4 wk ahead,1.6
20171016,HHS Region 4,Season onset,20171106
20171016,HHS Region 4,Season peak week,20180129
20171016,HHS Region 4,Season peak percentage,9.3
20171016,HHS Region 4,1 wk ahead,1.6
20171016,HHS Region 4,2 wk ahead,1.8
20171016,HHS Region 4,3 wk ahead,2.1
20171016,HHS Region 4,4 wk ahead,2.2
20171016,HHS Region 5,Season onset,20171204
20171016,HHS Region 5,Season peak week,20180205
20171016,HHS Region 5,Season peak percentage,5.8
20171016,HHS Region 5,1 wk ahead,1.2
20171016,HHS Region 5,2 wk ahead,1.2
20171016,HHS Region 5,3 wk ahead,1.3
20171016,HHS Region 5,4 wk ahead,1.2
20171016,HHS Region 6,Season onset,20171127
20171016,HHS Region 6,Season peak week,20180122
20171016,HHS Region 6,Season peak percentage,12.7
20171016,HHS Region 6,1 wk ahead,2.2
20171016,HHS Region 6,2 wk ahead,2.9
20171016,HHS Region 6,3 wk ahead,3.3
20171016,HHS Region 6,4 wk ahead,3.9
20171016,HHS Region 7,Season onset,20171204
20171016,HHS Region 7,Season peak week,20180122
20171016,HHS Region 7,Season peak percentage,8.9
20171016,HHS Region 7,1 wk ahead,0.9
20171016,HHS Region 7,2 wk ahead,1.2
20171016,HHS Region 7,3 wk ahead,1.3
20171016,HHS Region 7,4 wk ahead,1.4
20171016,HHS Region 8,Season onset,20171211
20171016,HHS Region 8,Season peak week,20180129
20171016,HHS Region 8,Season peak percentage,3.3
20171016,HHS Region 8,1 wk ahead,0.7
20171016,HHS Region 8,2 wk ahead,0.7
20171016,HHS Region 8,3 wk ahead,0.8
20171016,HHS Region 8,4 wk ahead,0.8
20171016,HHS Region 9,Season onset,20171204
20171016,HHS Region 9,Season peak week,20171225
20171016,HHS Region 9,Season peak percentage,7
20171016,HHS Region 9,1 wk ahead,1.7
20171016,HHS Region 9,2 wk ahead,2
20171016,HHS Region 9,3 wk ahead,1.9
20171016,HHS Region 9,4 wk ahead,2
20171016,HHS Region 10,Season onset,20171218
20171016,HHS Region 10,Season peak week,20180101
20171016,HHS Region 10,Season peak percentage,4.8
20171016,HHS Region 10,1 wk ahead,0.7
20171016,HHS Region 10,2 wk ahead,1
20171016,HHS Region 10,3 wk ahead,1
20171016,HHS Region 10,4 wk ahead,0.9
20171023,US National,Season onset,20171120
20171023,US National,Season peak week,20180129
20171023,US National,Season peak percentage,7.5
20171023,US National,1 wk ahead,1.7
20171023,US National,2 wk ahead,1.9
20171023,US National,3 wk ahead,2.1
20171023,US National,4 wk ahead,2.3
20171023,HHS Region 1,Season onset,20171120
20171023,HHS Region 1,Season peak week,20180205
20171023,HHS Region 1,Season peak percentage,5.8
20171023,HHS Region 1,1 wk ahead,1
20171023,HHS Region 1,2 wk ahead,1.1
20171023,HHS Region 1,3 wk ahead,1.2
20171023,HHS Region 1,4 wk ahead,1.6
20171023,HHS Region 2,Season onset,20171204
20171023,HHS Region 2,Season peak week,20180205
20171023,HHS Region 2,Season peak percentage,10.4
20171023,HHS Region 2,1 wk ahead,2.4
20171023,HHS Region 2,2 wk ahead,2.4
20171023,HHS Region 2,3 wk ahead,2.8
20171023,HHS Region 2,4 wk ahead,2.8
20171023,HHS Region 3,Season onset,20171218
20171023,HHS Region 3,Season peak week,20180205
20171023,HHS Region 3,Season peak percentage,7.5
20171023,HHS Region 3,1 wk ahead,1.2
20171023,HHS Region 3,2 wk ahead,1.3
20171023,HHS Region 3,3 wk ahead,1.6
20171023,HHS Region 3,4 wk ahead,1.6
20171023,HHS Region 4,Season onset,20171106
20171023,HHS Region 4,Season peak week,20180129
20171023,HHS Region 4,Season peak percentage,9.3
20171023,HHS Region 4,1 wk ahead,1.8
20171023,HHS Region 4,2 wk ahead,2.1
20171023,HHS Region 4,3 wk ahead,2.2
20171023,HHS Region 4,4 wk ahead,2.5
20171023,HHS Region 5,Season onset,20171204
20171023,HHS Region 5,Season peak week,20180205
20171023,HHS Region 5,Season peak percentage,5.8
20171023,HHS Region 5,1 wk ahead,1.2
20171023,HHS Region 5,2 wk ahead,1.3
20171023,HHS Region 5,3 wk ahead,1.2
20171023,HHS Region 5,4 wk ahead,1.5
20171023,HHS Region 6,Season onset,20171127
20171023,HHS Region 6,Season peak week,20180122
20171023,HHS Region 6,Season peak percentage,12.7
20171023,HHS Region 6,1 wk ahead,2.9
20171023,HHS Region 6,2 wk ahead,3.3
20171023,HHS Region 6,3 wk ahead,3.9
20171023,HHS Region 6,4 wk ahead,4.1
20171023,HHS Region 7,Season onset,20171204
20171023,HHS Region 7,Season peak week,20180122
20171023,HHS Region 7,Season peak percentage,8.9
20171023,HHS Region 7,1 wk ahead,1.2
20171023,HHS Region 7,2 wk ahead,1.3
20171023,HHS Region 7,3 wk ahead,1.4
20171023,HHS Region 7,4 wk ahead,1.7
20171023,HHS Region 8,Season onset,20171211
20171023,HHS Region 8,Season peak week,20180129
20171023,HHS Region 8,Season peak percentage,3.3
20171023,HHS Region 8,1 wk ahead,0.7
20171023,HHS Region 8,2 wk ahead,0.8
20171023,HHS Region 8,3 wk ahead,0.8
20171023,HHS Region 8,4 wk ahead,0.9
20171023,HHS Region 9,Season onset,20171204
20171023,HHS Region 9,Season peak week,20171225
20171023,HHS Region 9,Season peak percentage,7
20171023,HHS Region 9,1 wk ahead,2
20171023,HHS Region 9,2 wk ahead,1.9
20171023,HHS Region 9,3 wk ahead,2
20171023,HHS Region 9,4 wk ahead,2.2
20171023,HHS Region 10,Season onset,20171218
20171023,HHS Region 10,Season peak week,20180101
20171023,HHS Region 10,Season peak percentage,4.8
20171023,HHS Region 10,1 wk ahead,1
20171023,HHS Region 10,2 wk ahead,1
20171023,HHS Region 10,3 wk ahead,0.9
20171023,HHS Region 10,4 wk ahead,1.3
20171030,US National,Season onset,20171120
20171030,US National,Season peak week,20180129
20171030,US National,Season peak percentage,7.5
20171030,US National,1 wk ahead,1.9
20171030,US National,2 wk ahead,2.1
20171030,US National,3 wk ahead,2.3
20171030,US National,4 wk ahead,2.3
20171030,HHS Region 1,Season onset,20171120
20171030,HHS Region 1,Season peak week,20180205
20171030,HHS Region 1,Season peak percentage,5.8
20171030,HHS Region 1,1 wk ahead,1.1
20171030,HHS Region 1,2 wk ahead,1.2
20171030,HHS Region 1,3 wk ahead,1.6
20171030,HHS Region 1,4 wk ahead,1.5
20171030,HHS Region 2,Season onset,20171204
20171030,HHS Region 2,Season peak week,20180205
20171030,HHS Region 2,Season peak percentage,10.4
20171030,HHS Region 2,1 wk ahead,2.4
20171030,HHS Region 2,2 wk ahead,2.8
20171030,HHS Region 2,3 wk ahead,2.8
20171030,HHS Region 2,4 wk ahead,3
20171030,HHS Region 3,Season onset,20171218
20171030,HHS Region 3,Season peak week,20180205
20171030,HHS Region 3,Season peak percentage,7.5
20171030,HHS Region 3,1 wk ahead,1.3
20171030,HHS Region 3,2 wk ahead,1.6
20171030,HHS Region 3,3 wk ahead,1.6
20171030,HHS Region 3,4 wk ahead,1.6
20171030,HHS Region 4,Season onset,20171106
20171030,HHS Region 4,Season peak week,20180129
20171030,HHS Region 4,Season peak percentage,9.3
20171030,HHS Region 4,1 wk ahead,2.1
20171030,HHS Region 4,2 wk ahead,2.2
20171030,HHS Region 4,3 wk ahead,2.5
20171030,HHS Region 4,4 wk ahead,2.2
20171030,HHS Region 5,Season onset,20171204
20171030,HHS Region 5,Season peak week,20180205
20171030,HHS Region 5,Season peak percentage,5.8
20171030,HHS Region 5,1 wk ahead,1.3
20171030,HHS Region 5,2 wk ahead,1.2
20171030,HHS Region 5,3 wk ahead,1.5
20171030,HHS Region 5,4 wk ahead,1.6
20171030,HHS Region 6,Season onset,20171127
20171030,HHS Region 6,Season peak week,20180122
20171030,HHS Region 6,Season peak percentage,12.7
20171030,HHS Region 6,1 wk ahead,3.3
20171030,HHS Region 6,2 wk ahead,3.9
20171030,HHS Region 6,3 wk ahead,4.1
20171030,HHS Region 6,4 wk ahead,4.6
20171030,HHS Region 7,Season onset,20171204
20171030,HHS Region 7,Season peak week,20180122
20171030,HHS Region 7,Season peak percentage,8.9
20171030,HHS Region 7,1 wk ahead,1.3
20171030,HHS Region 7,2 wk ahead,1.4
20171030,HHS Region 7,3 wk ahead,1.7
20171030,HHS Region 7,4 wk ahead,1.5
20171030,HHS Region 8,Season onset,20171211
20171030,HHS Region 8,Season peak week,20180129
20171030,HHS Region 8,Season peak percentage,3.3
20171030,HHS Region 8,1 wk ahead,0.8
20171030,HHS Region 8,2 wk ahead,0.8
20171030,HHS Region 8,3 wk ahead,0.9
20171030,HHS Region 8,4 wk ahead,0.9
20171030,HHS Region 9,Season onset,20171204
20171030,HHS Region 9,Season peak week,20171225
20171030,HHS Region 9,Season peak percentage,7
20171030,HHS Region 9,1 wk ahead,1.9
20171030,HHS Region 9,2 wk ahead,2
20171030,HHS Region 9,3 wk ahead,2.2
20171030,HHS Region 9,4 wk ahead,2.2
20171030,HHS Region 10,Season onset,20171218
20171030,HHS Region 10,Season peak week,20180101
20171030,HHS Region 10,Season peak percentage,4.8
20171030,HHS Region 10,1 wk ahead,1
20171030,HHS Region 10,2 wk ahead,0.9
20171030,HHS Region 10,3 wk ahead,1.3
20171030,HHS Region 10,4 wk ahead,1.2
20171106,US National,Season onset,20171120
20171106,US National,Season peak week,20180129
20171106,US National,Season peak percentage,7.5
20171106,US National,1 wk ahead,2.1
20171106,US National,2 wk ahead,2.3
20171106,US National,3 wk ahead,2.3
20171106,US National,4 wk ahead,2.6
20171106,HHS Region 1,Season onset,20171120
20171106,HHS Region 1,Season peak week,20180205
20171106,HHS Region 1,Season peak percentage,5.8
20171106,HHS Region 1,1 wk ahead,1.2
20171106,HHS Region 1,2 wk ahead,1.6
20171106,HHS Region 1,3 wk ahead,1.5
20171106,HHS Region 1,4 wk ahead,1.7
20171106,HHS Region 2,Season onset,20171204
20171106,HHS Region 2,Season peak week,20180205
20171106,HHS Region 2,Season peak percentage,10.4
20171106,HHS Region 2,1 wk ahead,2.8
20171106,HHS Region 2,2 wk ahead,2.8
20171106,HHS Region 2,3 wk ahead,3
20171106,HHS Region 2,4 wk ahead,3.2
20171106,HHS Region 3,Season onset,20171218
20171106,HHS Region 3,Season peak week,20180205
20171106,HHS Region 3,Season peak percentage,7.5
20171106,HHS Region 3,1 wk ahead,1.6
20171106,HHS Region 3,2 wk ahead,1.6
20171106,HHS Region 3,3 wk ahead,1.6
20171106,HHS Region 3,4 wk ahead,1.6
20171106,HHS Region 4,Season onset,20171106
20171106,HHS Region 4,Season peak week,20180129
20171106,HHS Region 4,Season peak percentage,9.3
20171106,HHS Region 4,1 wk ahead,2.2
20171106,HHS Region 4,2 wk ahead,2.5
20171106,HHS Region 4,3 wk ahead,2.2
20171106,HHS Region 4,4 wk ahead,2.5
20171106,HHS Region 5,Season onset,20171204
20171106,HHS Region 5,Season peak week,20180205
20171106,HHS Region 5,Season peak percentage,5.8
20171106,HHS Region 5,1 wk ahead,1.2
20171106,HHS Region 5,2 wk ahead,1.5
20171106,HHS Region 5,3 wk ahead,1.6
20171106,HHS Region 5,4 wk ahead,1.9
20171106,HHS Region 6,Season onset,20171127
20171106,HHS Region 6,Season peak week,20180122
20171106,HHS Region 6,Season peak percentage,12.7
20171106,HHS Region 6,1 wk ahead,3.9
20171106,HHS Region 6,2 wk ahead,4.1
20171106,HHS Region 6,3 wk ahead,4.6
20171106,HHS Region 6,4 wk ahead,5.1
20171106,HHS Region 7,Season onset,20171204
20171106,HHS Region 7,Season peak week,20180122
20171106,HHS Region 7,Season peak percentage,8.9
20171106,HHS Region 7,1 wk ahead,1.4
20171106,HHS Region 7,2 wk ahead,1.7
20171106,HHS Region 7,3 wk ahead,1.5
20171106,HHS Region 7,4 wk ahead,2.1
20171106,HHS Region 8,Season onset,20171211
20171106,HHS Region 8,Season peak week,20180129
20171106,HHS Region 8,Season peak percentage,3.3
20171106,HHS Region 8,1 wk ahead,0.8
20171106,HHS Region 8,2 wk ahead,0.9
20171106,HHS Region 8,3 wk ahead,0.9
20171106,HHS Region 8,4 wk ahead,1.1
20171106,HHS Region 9,Season onset,20171204
20171106,HHS Region 9,Season peak week,20171225
20171106,HHS Region 9,Season peak percentage,7
20171106,HHS Region 9,1 wk ahead,2
20171106,HHS Region 9,2 wk ahead,2.2
20171106,HHS Region 9,3 wk ahead,2.2
20171106,HHS Region 9,4 wk ahead,2.6
20171106,HHS Region 10,Season onset,20171218
20171106,HHS Region 10,Season peak week,20180101
20171106,HHS Region 10,Season peak percentage,4.8
20171106,HHS Region 10,1 wk ahead,0.9
20171106,HHS Region 10,2 wk ahead,1.3
20171106,HHS Region 10,3 wk ahead,1.2
20171106,HHS Region 10,4 wk ahead,1.1
20171113,US National,Season onset,20171120
20171113,US National,Season peak week,20180129
20171113,US National,Season peak percentage,7.5
20171113,US National,1 wk ahead,2.3
20171113,US National,2 wk ahead,2.3
20171113,US National,3 wk ahead,2.6
20171113,US National,4 wk ahead,3.4
20171113,HHS Region 1,Season onset,20171120
20171113,HHS Region 1,Season peak week,20180205
20171113,HHS Region 1,Season peak percentage,5.8
20171113,HHS Region 1,1 wk ahead,1.6
20171113,HHS Region 1,2 wk ahead,1.5
20171113,HHS Region 1,3 wk ahead,1.7
20171113,HHS Region 1,4 wk ahead,1.8
20171113,HHS Region 2,Season onset,20171204
20171113,HHS Region 2,Season peak week,20180205
20171113,HHS Region 2,Season peak percentage,10.4
20171113,HHS Region 2,1 wk ahead,2.8
20171113,HHS Region 2,2 wk ahead,3
20171113,HHS Region 2,3 wk ahead,3.2
20171113,HHS Region 2,4 wk ahead,3.6
20171113,HHS Region 3,Season onset,20171218
20171113,HHS Region 3,Season peak week,20180205
20171113,HHS Region 3,Season peak percentage,7.5
20171113,HHS Region 3,1 wk ahead,1.6
20171113,HHS Region 3,2 wk ahead,1.6
20171113,HHS Region 3,3 wk ahead,1.6
20171113,HHS Region 3,4 wk ahead,1.8
20171113,HHS Region 4,Season onset,20171106
20171113,HHS Region 4,Season peak week,20180129
20171113,HHS Region 4,Season peak percentage,9.3
20171113,HHS Region 4,1 wk ahead,2.5
20171113,HHS Region 4,2 wk ahead,2.2
20171113,HHS Region 4,3 wk ahead,2.5
20171113,HHS Region 4,4 wk ahead,3.1
20171113,HHS Region 5,Season onset,20171204
20171113,HHS Region 5,Season peak week,20180205
20171113,HHS Region 5,Season peak percentage,5.8
20171113,HHS Region 5,1 wk ahead,1.5
20171113,HHS Region 5,2 wk ahead,1.6
20171113,HHS Region 5,3 wk ahead,1.9
20171113,HHS Region 5,4 wk ahead,2.2
20171113,HHS Region 6,Season onset,20171127
20171113,HHS Region 6,Season peak week,20180122
20171113,HHS Region 6,Season peak percentage,12.7
20171113,HHS Region 6,1 wk ahead,4.1
20171113,HHS Region 6,2 wk ahead,4.6
20171113,HHS Region 6,3 wk ahead,5.1
20171113,HHS Region 6,4 wk ahead,8
20171113,HHS Region 7,Season onset,20171204
20171113,HHS Region 7,Season peak week,20180122
20171113,HHS Region 7,Season peak percentage,8.9
20171113,HHS Region 7,1 wk ahead,1.7
20171113,HHS Region 7,2 wk ahead,1.5
20171113,HHS Region 7,3 wk ahead,2.1
20171113,HHS Region 7,4 wk ahead,2.8
20171113,HHS Region 8,Season onset,20171211
20171113,HHS Region 8,Season peak week,20180129
20171113,HHS Region 8,Season peak percentage,3.3
20171113,HHS Region 8,1 wk ahead,0.9
20171113,HHS Region 8,2 wk ahead,0.9
20171113,HHS Region 8,3 wk ahead,1.1
20171113,HHS Region 8,4 wk ahead,1.3
20171113,HHS Region 9,Season onset,20171204
20171113,HHS Region 9,Season peak week,20171225
20171113,HHS Region 9,Season peak percentage,7
20171113,HHS Region 9,1 wk ahead,2.2
20171113,HHS Region 9,2 wk ahead,2.2
20171113,HHS Region 9,3 wk ahead,2.6
20171113,HHS Region 9,4 wk ahead,3.6
20171113,HHS Region 10,Season onset,20171218
20171113,HHS Region 10,Season peak week,20180101
20171113,HHS Region 10,Season peak percentage,4.8
20171113,HHS Region 10,1 wk ahead,1.3
20171113,HHS Region 10,2 wk ahead,1.2
20171113,HHS Region 10,3 wk ahead,1.1
20171113,HHS Region 10,4 wk ahead,1.3
20171120,US National,Season onset,20171120
20171120,US National,Season peak week,20180129
20171120,US National,Season peak percentage,7.5
20171120,US National,1 wk ahead,2.3
20171120,US National,2 wk ahead,2.6
20171120,US National,3 wk ahead,3.4
20171120,US National,4 wk ahead,4.7
20171120,HHS Region 1,Season onset,20171120
20171120,HHS Region 1,Season peak week,20180205
20171120,HHS Region 1,Season peak percentage,5.8
20171120,HHS Region 1,1 wk ahead,1.5
20171120,HHS Region 1,2 wk ahead,1.7
20171120,HHS Region 1,3 wk ahead,1.8
20171120,HHS Region 1,4 wk ahead,2.3
20171120,HHS Region 2,Season onset,20171204
20171120,HHS Region 2,Season peak week,20180205
20171120,HHS Region 2,Season peak percentage,10.4
20171120,HHS Region 2,1 wk ahead,3
20171120,HHS Region 2,2 wk ahead,3.2
20171120,HHS Region 2,3 wk ahead,3.6
20171120,HHS Region 2,4 wk ahead,4.3
20171120,HHS Region 3,Season onset,20171218
20171120,HHS Region 3,Season peak week,20180205
20171120,HHS Region 3,Season peak percentage,7.5
20171120,HHS Region 3,1 wk ahead,1.6
20171120,HHS Region 3,2 wk ahead,1.6
20171120,HHS Region 3,3 wk ahead,1.8
20171120,HHS Region 3,4 wk ahead,2.3
20171120,HHS Region 4,Season onset,20171106
20171120,HHS Region 4,Season peak week,20180129
20171120,HHS Region 4,Season peak percentage,9.3
20171120,HHS Region 4,1 wk ahead,2.2
20171120,HHS Region 4,2 wk ahead,2.5
20171120,HHS Region 4,3 wk ahead,3.1
20171120,HHS Region 4,4 wk ahead,4.6
20171120,HHS Region 5,Season onset,20171204
20171120,HHS Region 5,Season peak week,20180205
20171120,HHS Region 5,Season peak percentage,5.8
20171120,HHS Region 5,1 wk ahead,1.6
20171120,HHS Region 5,2 wk ahead,1.9
20171120,HHS Region 5,3 wk ahead,2.2
20171120,HHS Region 5,4 wk ahead,3.2
20171120,HHS Region 6,Season onset,20171127
20171120,HHS Region 6,Season peak week,20180122
20171120,HHS Region 6,Season peak percentage,12.7
20171120,HHS Region 6,1 wk ahead,4.6
20171120,HHS Region 6,2 wk ahead,5.1
20171120,HHS Region 6,3 wk ahead,8
20171120,HHS Region 6,4 wk ahead,11.6
20171120,HHS Region 7,Season onset,20171204
20171120,HHS Region 7,Season peak week,20180122
20171120,HHS Region 7,Season peak percentage,8.9
20171120,HHS Region 7,1 wk ahead,1.5
20171120,HHS Region 7,2 wk ahead,2.1
20171120,HHS Region 7,3 wk ahead,2.8
20171120,HHS Region 7,4 wk ahead,4.3
20171120,HHS Region 8,Season onset,20171211
20171120,HHS Region 8,Season peak week,20180129
20171120,HHS Region 8,Season peak percentage,3.3
20171120,HHS Region 8,1 wk ahead,0.9
20171120,HHS Region 8,2 wk ahead,1.1
20171120,HHS Region 8,3 wk ahead,1.3
20171120,HHS Region 8,4 wk ahead,1.9
20171120,HHS Region 9,Season onset,20171204
20171120,HHS Region 9,Season peak week,20171225
20171120,HHS Region 9,Season peak percentage,7
20171120,HHS Region 9,1 wk ahead,2.2
20171120,HHS Region 9,2 wk ahead,2.6
20171120,HHS Region 9,3 wk ahead,3.6
20171120,HHS Region 9,4 wk ahead,4.8
20171120,HHS Region 10,Season onset,20171218
20171120,HHS Region 10,Season peak week,20180101
20171120,HHS Region 10,Season peak percentage,4.8
20171120,HHS Region 10,1 wk ahead,1.2
20171120,HHS Region 10,2 wk ahead,1.1
20171120,HHS Region 10,3 wk ahead,1.3
20171120,HHS Region 10,4 wk ahead,2.2
