timezero,location,target,value
20101025,HHS Region 6,4 wk ahead,2.6
20101025,HHS Region 7,Season onset,20110124
20101025,HHS Region 7,Season peak week,20110221
20101025,HHS Region 7,Season peak percentage,4.7
20101025,HHS Region 7,1 wk ahead,0.7
20101025,HHS Region 7,2 wk ahead,1.2
20101025,HHS Region 7,3 wk ahead,1.1
20101025,HHS Region 7,4 wk ahead,1
20101025,HHS Region 8,Season onset,20110131
20101025,HHS Region 8,Season peak week,20110214
20101025,HHS Region 8,Season peak percentage,2.7
20101025,HHS Region 8,1 wk ahead,0.8
20101025,HHS Region 8,2 wk ahead,0.7
20101025,HHS Region 8,3 wk ahead,0.7
20101025,HHS Region 8,4 wk ahead,0.7
20101025,HHS Region 9,Season onset,20110207
20101025,HHS Region 9,Season peak week,20110214
20101025,HHS Region 9,Season peak percentage,4.7
20101025,HHS Region 9,1 wk ahead,2.3
20101025,HHS Region 9,2 wk ahead,2.3
20101025,HHS Region 9,3 wk ahead,2.5
20101025,HHS Region 9,4 wk ahead,2.8
20101025,HHS Region 10,Season onset,20110131
20101025,HHS Region 10,Season peak week,20110214
20101025,HHS Region 10,Season peak percentage,3.9
20101025,HHS Region 10,1 wk ahead,0.9
20101025,HHS Region 10,2 wk ahead,1
20101025,HHS Region 10,3 wk ahead,1.2
20101025,HHS Region 10,4 wk ahead,1.7
20101101,US National,Season onset,20101220
20101101,US National,Season peak week,20110131
20101101,US National,Season peak percentage,4.5
20101101,US National,1 wk ahead,1.5
20101101,US National,2 wk ahead,1.6
20101101,US National,3 wk ahead,1.8
20101101,US National,4 wk ahead,1.7
20101101,HHS Region 1,Season onset,20110124
20101101,HHS Region 1,Season peak week,20110214
20101101,HHS Region 1,Season peak percentage,2.3
20101101,HHS Region 1,1 wk ahead,0.6
20101101,HHS Region 1,2 wk ahead,0.7
20101101,HHS Region 1,3 wk ahead,0.8
20101101,HHS Region 1,4 wk ahead,0.7
20101101,HHS Region 2,Season onset,20101206
20101101,HHS Region 2,Season peak week,20101227
20101101,HHS Region 2,Season peak percentage,4.5
20101101,HHS Region 2,1 wk ahead,1.4
20101101,HHS Region 2,2 wk ahead,1.4
20101101,HHS Region 2,3 wk ahead,1.7
20101101,HHS Region 2,4 wk ahead,2.2
20101101,HHS Region 3,Season onset,20110117
20101101,HHS Region 3,Season peak week,20110131
20101101,HHS Region 3,Season peak percentage,4.4
20101101,HHS Region 3,1 wk ahead,1.3
20101101,HHS Region 3,2 wk ahead,1.3
20101101,HHS Region 3,3 wk ahead,1.5
20101101,HHS Region 3,4 wk ahead,1.5
20101101,HHS Region 4,Season onset,20101213
20101101,HHS Region 4,Season peak week,20110131
20101101,HHS Region 4,Season peak percentage,5.5
20101101,HHS Region 4,1 wk ahead,1.6
20101101,HHS Region 4,2 wk ahead,1.8
20101101,HHS Region 4,3 wk ahead,2.2
20101101,HHS Region 4,4 wk ahead,1.9
20101101,HHS Region 5,Season onset,20110117
20101101,HHS Region 5,Season peak week,20110131
20101101,HHS Region 5,Season peak percentage,3.8
20101101,HHS Region 5,1 wk ahead,0.9
20101101,HHS Region 5,2 wk ahead,0.9
20101101,HHS Region 5,3 wk ahead,1
20101101,HHS Region 5,4 wk ahead,0.9
20101101,HHS Region 6,Season onset,20110117
20101101,HHS Region 6,Season peak week,20110214
20101101,HHS Region 6,Season peak percentage,7.9
20101101,HHS Region 6,1 wk ahead,2.4
20101101,HHS Region 6,2 wk ahead,2.4
20101101,HHS Region 6,3 wk ahead,2.6
20101101,HHS Region 6,4 wk ahead,2.5
20101101,HHS Region 7,Season onset,20110124
20101101,HHS Region 7,Season peak week,20110221
20101101,HHS Region 7,Season peak percentage,4.7
20101101,HHS Region 7,1 wk ahead,1.2
20101101,HHS Region 7,2 wk ahead,1.1
20101101,HHS Region 7,3 wk ahead,1
20101101,HHS Region 7,4 wk ahead,1.4
20101101,HHS Region 8,Season onset,20110131
20101101,HHS Region 8,Season peak week,20110214
20101101,HHS Region 8,Season peak percentage,2.7
20101101,HHS Region 8,1 wk ahead,0.7
20101101,HHS Region 8,2 wk ahead,0.7
20101101,HHS Region 8,3 wk ahead,0.7
20101101,HHS Region 8,4 wk ahead,0.7
20101101,HHS Region 9,Season onset,20110207
20101101,HHS Region 9,Season peak week,20110214
20101101,HHS Region 9,Season peak percentage,4.7
20101101,HHS Region 9,1 wk ahead,2.3
20101101,HHS Region 9,2 wk ahead,2.5
20101101,HHS Region 9,3 wk ahead,2.8
20101101,HHS Region 9,4 wk ahead,2.4
20101101,HHS Region 10,Season onset,20110131
20101101,HHS Region 10,Season peak week,20110214
20101101,HHS Region 10,Season peak percentage,3.9
20101101,HHS Region 10,1 wk ahead,1
20101101,HHS Region 10,2 wk ahead,1.2
20101101,HHS Region 10,3 wk ahead,1.7
20101101,HHS Region 10,4 wk ahead,1
20101108,US National,Season onset,20101220
20101108,US National,Season peak week,20110131
20101108,US National,Season peak percentage,4.5
20101108,US National,1 wk ahead,1.6
20101108,US National,2 wk ahead,1.8
20101108,US National,3 wk ahead,1.7
20101108,US National,4 wk ahead,1.9
20101108,HHS Region 1,Season onset,20110124
20101108,HHS Region 1,Season peak week,20110214
20101108,HHS Region 1,Season peak percentage,2.3
20101108,HHS Region 1,1 wk ahead,0.7
20101108,HHS Region 1,2 wk ahead,0.8
20101108,HHS Region 1,3 wk ahead,0.7
20101108,HHS Region 1,4 wk ahead,0.8
20101108,HHS Region 2,Season onset,20101206
20101108,HHS Region 2,Season peak week,20101227
20101108,HHS Region 2,Season peak percentage,4.5
20101108,HHS Region 2,1 wk ahead,1.4
20101108,HHS Region 2,2 wk ahead,1.7
20101108,HHS Region 2,3 wk ahead,2.2
20101108,HHS Region 2,4 wk ahead,2.5
20101108,HHS Region 3,Season onset,20110117
20101108,HHS Region 3,Season peak week,20110131
20101108,HHS Region 3,Season peak percentage,4.4
20101108,HHS Region 3,1 wk ahead,1.3
20101108,HHS Region 3,2 wk ahead,1.5
20101108,HHS Region 3,3 wk ahead,1.5
20101108,HHS Region 3,4 wk ahead,1.5
20101108,HHS Region 4,Season onset,20101213
20101108,HHS Region 4,Season peak week,20110131
20101108,HHS Region 4,Season peak percentage,5.5
20101108,HHS Region 4,1 wk ahead,1.8
20101108,HHS Region 4,2 wk ahead,2.2
20101108,HHS Region 4,3 wk ahead,1.9
20101108,HHS Region 4,4 wk ahead,2.2
20101108,HHS Region 5,Season onset,20110117
20101108,HHS Region 5,Season peak week,20110131
20101108,HHS Region 5,Season peak percentage,3.8
20101108,HHS Region 5,1 wk ahead,0.9
20101108,HHS Region 5,2 wk ahead,1
20101108,HHS Region 5,3 wk ahead,0.9
20101108,HHS Region 5,4 wk ahead,1
20101108,HHS Region 6,Season onset,20110117
20101108,HHS Region 6,Season peak week,20110214
20101108,HHS Region 6,Season peak percentage,7.9
20101108,HHS Region 6,1 wk ahead,2.4
20101108,HHS Region 6,2 wk ahead,2.6
20101108,HHS Region 6,3 wk ahead,2.5
20101108,HHS Region 6,4 wk ahead,2.3
20101108,HHS Region 7,Season onset,20110124
20101108,HHS Region 7,Season peak week,20110221
20101108,HHS Region 7,Season peak percentage,4.7
20101108,HHS Region 7,1 wk ahead,1.1
20101108,HHS Region 7,2 wk ahead,1
20101108,HHS Region 7,3 wk ahead,1.4
20101108,HHS Region 7,4 wk ahead,1.3
20101108,HHS Region 8,Season onset,20110131
20101108,HHS Region 8,Season peak week,20110214
20101108,HHS Region 8,Season peak percentage,2.7
20101108,HHS Region 8,1 wk ahead,0.7
20101108,HHS Region 8,2 wk ahead,0.7
20101108,HHS Region 8,3 wk ahead,0.7
20101108,HHS Region 8,4 wk ahead,0.8
20101108,HHS Region 9,Season onset,20110207
20101108,HHS Region 9,Season peak week,20110214
20101108,HHS Region 9,Season peak percentage,4.7
20101108,HHS Region 9,1 wk ahead,2.5
20101108,HHS Region 9,2 wk ahead,2.8
20101108,HHS Region 9,3 wk ahead,2.4
20101108,HHS Region 9,4 wk ahead,2.9
20101108,HHS Region 10,Season onset,20110131
20101108,HHS Region 10,Season peak week,20110214
20101108,HHS Region 10,Season peak percentage,3.9
20101108,HHS Region 10,1 wk ahead,1.2
20101108,HHS Region 10,2 wk ahead,1.7
20101108,HHS Region 10,3 wk ahead,1
20101108,HHS Region 10,4 wk ahead,1.1
20101115,US National,Season onset,20101220
20101115,US National,Season peak week,20110131
20101115,US National,Season peak percentage,4.5
20101115,US National,1 wk ahead,1.8
20101115,US National,2 wk ahead,1.7
20101115,US National,3 wk ahead,1.9
20101115,US National,4 wk ahead,2.4
20101115,HHS Region 1,Season onset,20110124
20101115,HHS Region 1,Season peak week,20110214
20101115,HHS Region 1,Season peak percentage,2.3
20101115,HHS Region 1,1 wk ahead,0.8
20101115,HHS Region 1,2 wk ahead,0.7
20101115,HHS Region 1,3 wk ahead,0.8
20101115,HHS Region 1,4 wk ahead,0.8
20101115,HHS Region 2,Season onset,20101206
20101115,HHS Region 2,Season peak week,20101227
20101115,HHS Region 2,Season peak percentage,4.5
20101115,HHS Region 2,1 wk ahead,1.7
20101115,HHS Region 2,2 wk ahead,2.2
20101115,HHS Region 2,3 wk ahead,2.5
20101115,HHS Region 2,4 wk ahead,3
20101115,HHS Region 3,Season onset,20110117
20101115,HHS Region 3,Season peak week,20110131
20101115,HHS Region 3,Season peak percentage,4.4
20101115,HHS Region 3,1 wk ahead,1.5
20101115,HHS Region 3,2 wk ahead,1.5
20101115,HHS Region 3,3 wk ahead,1.5
20101115,HHS Region 3,4 wk ahead,1.6
20101115,HHS Region 4,Season onset,20101213
20101115,HHS Region 4,Season peak week,20110131
20101115,HHS Region 4,Season peak percentage,5.5
20101115,HHS Region 4,1 wk ahead,2.2
20101115,HHS Region 4,2 wk ahead,1.9
20101115,HHS Region 4,3 wk ahead,2.2
20101115,HHS Region 4,4 wk ahead,3.3
20101115,HHS Region 5,Season onset,20110117
20101115,HHS Region 5,Season peak week,20110131
20101115,HHS Region 5,Season peak percentage,3.8
20101115,HHS Region 5,1 wk ahead,1
20101115,HHS Region 5,2 wk ahead,0.9
20101115,HHS Region 5,3 wk ahead,1
20101115,HHS Region 5,4 wk ahead,1.1
20101115,HHS Region 6,Season onset,20110117
20101115,HHS Region 6,Season peak week,20110214
20101115,HHS Region 6,Season peak percentage,7.9
20101115,HHS Region 6,1 wk ahead,2.6
20101115,HHS Region 6,2 wk ahead,2.5
20101115,HHS Region 6,3 wk ahead,2.3
20101115,HHS Region 6,4 wk ahead,2.9
20101115,HHS Region 7,Season onset,20110124
20101115,HHS Region 7,Season peak week,20110221
20101115,HHS Region 7,Season peak percentage,4.7
20101115,HHS Region 7,1 wk ahead,1
20101115,HHS Region 7,2 wk ahead,1.4
20101115,HHS Region 7,3 wk ahead,1.3
20101115,HHS Region 7,4 wk ahead,1.6
20101115,HHS Region 8,Season onset,20110131
20101115,HHS Region 8,Season peak week,20110214
20101115,HHS Region 8,Season peak percentage,2.7
20101115,HHS Region 8,1 wk ahead,0.7
20101115,HHS Region 8,2 wk ahead,0.7
20101115,HHS Region 8,3 wk ahead,0.8
20101115,HHS Region 8,4 wk ahead,0.8
20101115,HHS Region 9,Season onset,20110207
20101115,HHS Region 9,Season peak week,20110214
20101115,HHS Region 9,Season peak percentage,4.7
20101115,HHS Region 9,1 wk ahead,2.8
20101115,HHS Region 9,2 wk ahead,2.4
20101115,HHS Region 9,3 wk ahead,2.9
20101115,HHS Region 9,4 wk ahead,3.4
20101115,HHS Region 10,Season onset,20110131
20101115,HHS Region 10,Season peak week,20110214
20101115,HHS Region 10,Season peak percentage,3.9
20101115,HHS Region 10,1 wk ahead,1.7
20101115,HHS Region 10,2 wk ahead,1
20101115,HHS Region 10,3 wk ahead,1.1
20101115,HHS Region 10,4 wk ahead,1
20101122,US National,Season onset,20101220
20101122,US National,Season peak week,20110131
20101122,US National,Season peak percentage,4.5
20101122,US National,1 wk ahead,1.7
20101122,US National,2 wk ahead,1.9
20101122,US National,3 wk ahead,2.4
20101122,US National,4 wk ahead,3.1
20101122,HHS Region 1,Season onset,20110124
20101122,HHS Region 1,Season peak week,20110214
20101122,HHS Region 1,Season peak percentage,2.3
20101122,HHS Region 1,1 wk ahead,0.7
20101122,HHS Region 1,2 wk ahead,0.8
20101122,HHS Region 1,3 wk ahead,0.8
20101122,HHS Region 1,4 wk ahead,1
20101122,HHS Region 2,Season onset,20101206
20101122,HHS Region 2,Season peak week,20101227
20101122,HHS Region 2,Season peak percentage,4.5
20101122,HHS Region 2,1 wk ahead,2.2
20101122,HHS Region 2,2 wk ahead,2.5
20101122,HHS Region 2,3 wk ahead,3
20101122,HHS Region 2,4 wk ahead,4.2
20101122,HHS Region 3,Season onset,20110117
20101122,HHS Region 3,Season peak week,20110131
20101122,HHS Region 3,Season peak percentage,4.4
20101122,HHS Region 3,1 wk ahead,1.5
20101122,HHS Region 3,2 wk ahead,1.5
20101122,HHS Region 3,3 wk ahead,1.6
20101122,HHS Region 3,4 wk ahead,2.2
20101122,HHS Region 4,Season onset,20101213
20101122,HHS Region 4,Season peak week,20110131
20101122,HHS Region 4,Season peak percentage,5.5
20101122,HHS Region 4,1 wk ahead,1.9
20101122,HHS Region 4,2 wk ahead,2.2
20101122,HHS Region 4,3 wk ahead,3.3
20101122,HHS Region 4,4 wk ahead,4.4
20101122,HHS Region 5,Season onset,20110117
20101122,HHS Region 5,Season peak week,20110131
20101122,HHS Region 5,Season peak percentage,3.8
20101122,HHS Region 5,1 wk ahead,0.9
20101122,HHS Region 5,2 wk ahead,1
20101122,HHS Region 5,3 wk ahead,1.1
20101122,HHS Region 5,4 wk ahead,1.4
20101122,HHS Region 6,Season onset,20110117
20101122,HHS Region 6,Season peak week,20110214
20101122,HHS Region 6,Season peak percentage,7.9
20101122,HHS Region 6,1 wk ahead,2.5
20101122,HHS Region 6,2 wk ahead,2.3
20101122,HHS Region 6,3 wk ahead,2.9
20101122,HHS Region 6,4 wk ahead,3.8
20101122,HHS Region 7,Season onset,20110124
20101122,HHS Region 7,Season peak week,20110221
20101122,HHS Region 7,Season peak percentage,4.7
20101122,HHS Region 7,1 wk ahead,1.4
20101122,HHS Region 7,2 wk ahead,1.3
20101122,HHS Region 7,3 wk ahead,1.6
20101122,HHS Region 7,4 wk ahead,2
20101122,HHS Region 8,Season onset,20110131
20101122,HHS Region 8,Season peak week,20110214
20101122,HHS Region 8,Season peak percentage,2.7
20101122,HHS Region 8,1 wk ahead,0.7
20101122,HHS Region 8,2 wk ahead,0.8
20101122,HHS Region 8,3 wk ahead,0.8
20101122,HHS Region 8,4 wk ahead,0.9
20101122,HHS Region 9,Season onset,20110207
20101122,HHS Region 9,Season peak week,20110214
20101122,HHS Region 9,Season peak percentage,4.7
20101122,HHS Region 9,1 wk ahead,2.4
20101122,HHS Region 9,2 wk ahead,2.9
20101122,HHS Region 9,3 wk ahead,3.4
20101122,HHS Region 9,4 wk ahead,4.2
20101122,HHS Region 10,Season onset,20110131
20101122,HHS Region 10,Season peak week,20110214
20101122,HHS Region 10,Season peak percentage,3.9
20101122,HHS Region 10,1 wk ahead,1
20101122,HHS Region 10,2 wk ahead,1.1
20101122,HHS Region 10,3 wk ahead,1
