component_model_id,season,weight
CU-EAKFC_SEIRS,2012/2013,0.0476190476190476
CU-EAKFC_SIRS,2012/2013,0.0476190476190476
CU-EKF_SEIRS,2012/2013,0.0476190476190476
CU-EKF_SIRS,2012/2013,0.0476190476190476
CU-RHF_SEIRS,2012/2013,0.0476190476190476
CU-RHF_SIRS,2012/2013,0.0476190476190476
Delphi-BasisRegression,2012/2013,0.0476190476190476
Delphi-DeltaDensity1,2012/2013,0.0476190476190476
Delphi-EmpiricalBayes1,2012/2013,0.0476190476190476
Delphi-EmpiricalBayes2,2012/2013,0.0476190476190476
Delphi-EmpiricalFuture,2012/2013,0.0476190476190476
Delphi-EmpiricalTraj,2012/2013,0.0476190476190476
Delphi-DeltaDensity2,2012/2013,0.0476190476190476
Delphi-Stat,2012/2013,0.0476190476190476
Delphi-Uniform,2012/2013,0.0476190476190476
LANL-DBM,2012/2013,0.0476190476190476
ReichLab-KCDE,2012/2013,0.0476190476190476
ReichLab-KDE,2012/2013,0.0476190476190476
ReichLab-SARIMA1,2012/2013,0.0476190476190476
ReichLab-SARIMA2,2012/2013,0.0476190476190476
CU-BMA,2013/2014,0.0476190476190476
CU-EAKFC_SEIRS,2013/2014,0.0476190476190476
CU-EAKFC_SIRS,2013/2014,0.0476190476190476
CU-EKF_SEIRS,2013/2014,0.0476190476190476
CU-EKF_SIRS,2013/2014,0.0476190476190476
CU-RHF_SEIRS,2013/2014,0.0476190476190476
CU-RHF_SIRS,2013/2014,0.0476190476190476
Delphi-BasisRegression,2013/2014,0.0476190476190476
Delphi-DeltaDensity1,2013/2014,0.0476190476190476
Delphi-EmpiricalBayes1,2013/2014,0.0476190476190476
Delphi-EmpiricalBayes2,2013/2014,0.0476190476190476
Delphi-EmpiricalFuture,2013/2014,0.0476190476190476
Delphi-EmpiricalTraj,2013/2014,0.0476190476190476
Delphi-DeltaDensity2,2013/2014,0.0476190476190476
Delphi-Stat,2013/2014,0.0476190476190476
Delphi-Uniform,2013/2014,0.0476190476190476
LANL-DBM,2013/2014,0.0476190476190476
ReichLab-KCDE,2013/2014,0.0476190476190476
ReichLab-KDE,2013/2014,0.0476190476190476
ReichLab-SARIMA1,2013/2014,0.0476190476190476
ReichLab-SARIMA2,2013/2014,0.0476190476190476
CU-BMA,2014/2015,0.0476190476190476
CU-EAKFC_SEIRS,2014/2015,0.0476190476190476
CU-EAKFC_SIRS,2014/2015,0.0476190476190476
CU-EKF_SEIRS,2014/2015,0.0476190476190476
CU-EKF_SIRS,2014/2015,0.0476190476190476
CU-RHF_SEIRS,2014/2015,0.0476190476190476
CU-RHF_SIRS,2014/2015,0.0476190476190476
Delphi-BasisRegression,2014/2015,0.0476190476190476
Delphi-DeltaDensity1,2014/2015,0.0476190476190476
Delphi-EmpiricalBayes1,2014/2015,0.0476190476190476
Delphi-EmpiricalBayes2,2014/2015,0.0476190476190476
Delphi-EmpiricalFuture,2014/2015,0.0476190476190476
Delphi-EmpiricalTraj,2014/2015,0.0476190476190476
Delphi-DeltaDensity2,2014/2015,0.0476190476190476
Delphi-Stat,2014/2015,0.0476190476190476
Delphi-Uniform,2014/2015,0.0476190476190476
LANL-DBM,2014/2015,0.0476190476190476
ReichLab-KCDE,2014/2015,0.0476190476190476
ReichLab-KDE,2014/2015,0.0476190476190476
ReichLab-SARIMA1,2014/2015,0.0476190476190476
ReichLab-SARIMA2,2014/2015,0.0476190476190476
CU-BMA,2015/2016,0.0476190476190476
CU-EAKFC_SEIRS,2015/2016,0.0476190476190476
CU-EAKFC_SIRS,2015/2016,0.0476190476190476
CU-EKF_SEIRS,2015/2016,0.0476190476190476
CU-EKF_SIRS,2015/2016,0.0476190476190476
CU-RHF_SEIRS,2015/2016,0.0476190476190476
CU-RHF_SIRS,2015/2016,0.0476190476190476
Delphi-BasisRegression,2015/2016,0.0476190476190476
Delphi-DeltaDensity1,2015/2016,0.0476190476190476
Delphi-EmpiricalBayes1,2015/2016,0.0476190476190476
Delphi-EmpiricalBayes2,2015/2016,0.0476190476190476
Delphi-EmpiricalFuture,2015/2016,0.0476190476190476
Delphi-EmpiricalTraj,2015/2016,0.0476190476190476
Delphi-DeltaDensity2,2015/2016,0.0476190476190476
Delphi-Stat,2015/2016,0.0476190476190476
Delphi-Uniform,2015/2016,0.0476190476190476
LANL-DBM,2015/2016,0.0476190476190476
ReichLab-KCDE,2015/2016,0.0476190476190476
ReichLab-KDE,2015/2016,0.0476190476190476
ReichLab-SARIMA1,2015/2016,0.0476190476190476
ReichLab-SARIMA2,2015/2016,0.0476190476190476
CU-BMA,2016/2017,0.0476190476190476
CU-EAKFC_SEIRS,2016/2017,0.0476190476190476
CU-EAKFC_SIRS,2016/2017,0.0476190476190476
CU-EKF_SEIRS,2016/2017,0.0476190476190476
CU-EKF_SIRS,2016/2017,0.0476190476190476
CU-RHF_SEIRS,2016/2017,0.0476190476190476
CU-RHF_SIRS,2016/2017,0.0476190476190476
Delphi-BasisRegression,2016/2017,0.0476190476190476
Delphi-DeltaDensity1,2016/2017,0.0476190476190476
Delphi-EmpiricalBayes1,2016/2017,0.0476190476190476
Delphi-EmpiricalBayes2,2016/2017,0.0476190476190476
Delphi-EmpiricalFuture,2016/2017,0.0476190476190476
Delphi-EmpiricalTraj,2016/2017,0.0476190476190476
Delphi-DeltaDensity2,2016/2017,0.0476190476190476
Delphi-Stat,2016/2017,0.0476190476190476
Delphi-Uniform,2016/2017,0.0476190476190476
LANL-DBM,2016/2017,0.0476190476190476
ReichLab-KCDE,2016/2017,0.0476190476190476
ReichLab-KDE,2016/2017,0.0476190476190476
ReichLab-SARIMA1,2016/2017,0.0476190476190476
ReichLab-SARIMA2,2016/2017,0.0476190476190476
CU-BMA,2017/2018,0.0476190476190476
CU-EAKFC_SEIRS,2017/2018,0.0476190476190476
CU-EAKFC_SIRS,2017/2018,0.0476190476190476
CU-EKF_SEIRS,2017/2018,0.0476190476190476
CU-EKF_SIRS,2017/2018,0.0476190476190476
CU-RHF_SEIRS,2017/2018,0.0476190476190476
CU-RHF_SIRS,2017/2018,0.0476190476190476
Delphi-BasisRegression,2017/2018,0.0476190476190476
Delphi-DeltaDensity1,2017/2018,0.0476190476190476
Delphi-EmpiricalBayes1,2017/2018,0.0476190476190476
Delphi-EmpiricalBayes2,2017/2018,0.0476190476190476
Delphi-EmpiricalFuture,2017/2018,0.0476190476190476
Delphi-EmpiricalTraj,2017/2018,0.0476190476190476
Delphi-DeltaDensity2,2017/2018,0.0476190476190476
Delphi-Stat,2017/2018,0.0476190476190476
Delphi-Uniform,2017/2018,0.0476190476190476
LANL-DBM,2017/2018,0.0476190476190476
ReichLab-KCDE,2017/2018,0.0476190476190476
ReichLab-KDE,2017/2018,0.0476190476190476
ReichLab-SARIMA1,2017/2018,0.0476190476190476
ReichLab-SARIMA2,2017/2018,0.0476190476190476
